m2,nb_rooms,nb_bedrooms,building_floor,apartment_floor,nb_bath,Cellar,balc_patio,Heating,Renovated,Parking,building_height,Ground_floor,Heating_Central,Heating_Individual,Last_floor,district,SalePrice_K
3.4011973816621555,2,1,4,2,1,0,0,Unknown,0,0,Average,0,0,0,0,18e,5.886104031450156
5.176149732573829,5,3,8,0,3,0,0,Unknown,0,0,Average,1,0,0,0,16e,7.5652752818989315
5.303304908059076,6,3,6,1,3,1,0,Unknown,0,0,Average,0,0,0,0,16e,8.055157731819678
3.4011973816621555,2,1,5,4,1,0,0,Unknown,0,0,Average,0,0,0,0,17e,6.016157159698354
5.262690188904886,6,3,6,4,1,0,Balcon,Individuel,0,1,Average,0,0,1,0,8e,7.835974581721566
4.189654742026425,3,2,6,4,1,0,0,Individuel,0,0,Average,0,0,1,0,9e,6.774223886357614
3.8501476017100584,2,1,8,2,1,0,0,Unknown,0,0,Average,0,0,0,0,7e,6.606650186198215
5.662960480135946,7,4,6,2,2,1,Balcon,Unknown,0,0,Average,0,0,0,0,17e,8.055157731819678
5.049856007249537,4,2,7,4,2,0,0,Unknown,0,0,Average,0,0,0,0,16e,7.791522819150732
5.384495062789089,6,4,7,2,2,0,Balcon,Central,0,0,Average,0,1,0,0,16e,7.882314918980268
5.342334251964811,8,4,3,0,2,0,0,Individuel,0,0,Small,1,0,1,0,18e,7.736307096548285
4.2626798770413155,1,0,5,0,1,1,0,Central,0,0,Average,1,1,0,0,8e,6.620073206530356
5.225746673713202,2,1,4,0,1,0,"Terrasse, balcon",Unknown,0,0,Average,1,0,0,0,16e,7.408530566894626
5.030437921392435,2,1,7,4,1,0,Balcon,Unknown,0,0,Average,0,0,0,0,8e,7.162397497355718
4.204692619390966,2,1,6,5,1,0,0,Unknown,0,0,Average,0,0,0,0,8e,6.764173550504113
4.454347296253507,3,2,6,1,1,1,0,Central,0,0,Average,0,1,0,0,16e,6.796823718274855
4.919980925828125,3,2,5,2,1,0,Balcon,Unknown,0,0,Average,0,0,0,0,16e,7.362010551259734
3.332204510175204,2,1,5,0,1,0,0,"Individuel, électrique",0,0,Average,1,0,1,0,18e,5.598421958998375
5.030437921392435,5,3,6,5,1,1,0,Individuel,0,0,Average,0,0,1,0,16e,7.687080155783135
5.342334251964811,8,5,4,0,1,0,"Terrasse, balcon",Unknown,0,0,Average,1,0,0,0,18e,7.736307096548285
4.007333185232471,2,1,2,2,1,0,0,Individuel,0,0,Small,0,0,1,1,2e,6.591673732008658
2.833213344056216,1,0,7,7,1,0,0,Unknown,0,0,Average,0,0,0,1,11e,5.521460917862246
3.4965075614664802,2,1,7,1,1,1,0,Unknown,0,0,Average,0,0,0,0,18e,6.194405391104672
4.5217885770490405,4,2,6,5,1,1,0,Unknown,0,0,Average,0,0,0,0,18e,6.785587645007929
4.110873864173311,3,2,6,2,1,1,0,Unknown,0,0,Average,0,0,0,0,10e,6.672032945461067
